,weight,sweetness,juiciness,acidity
3409,3,5,2,2
2046,2,2,2,5
1685,2,2,3,3
1277,3,5,3,4
3304,2,3,2,2
3544,3,2,2,2
2735,3,2,2,2
2585,2,2,4,5
1090,2,3,3,3
88,1,4,2,2
2036,2,3,5,3
2843,1,5,2,5
935,3,3,2,4
3662,3,5,5,5
2328,2,4,3,3
463,2,2,2,4
1814,2,4,2,4
326,2,2,3,2
3263,2,2,5,3
1033,1,2,4,3
3316,1,2,2,3
1670,2,2,2,4
3710,3,2,3,2
546,3,3,2,5
2107,1,2,3,3
3334,3,2,2,4
778,2,2,3,3
2906,3,2,2,5
3665,1,3,2,3
3979,1,3,3,2
1126,2,2,2,2
1852,3,4,3,2
1960,2,3,2,2
1363,1,2,2,2
904,3,2,5,4
3433,1,2,3,2
92,3,2,2,3
3132,1,4,3,4
879,2,4,4,4
1514,2,3,3,4
3412,2,2,4,3
99,1,2,2,4
322,1,5,5,2
3497,2,3,4,2
208,3,4,2,2
1282,1,3,3,2
1312,2,4,4,3
3628,1,3,3,3
1850,3,4,5,2
2680,2,2,5,3
2214,3,4,3,3
1385,2,2,3,5
1084,3,2,2,2
2088,1,4,2,2
2285,1,3,4,3
1918,1,3,5,5
3721,3,4,3,5
137,3,2,4,5
933,1,2,2,2
3878,3,3,2,3
1103,3,4,2,5
3278,3,5,3,2
2236,2,2,2,2
362,1,2,4,4
45,1,2,2,3
2072,1,5,5,2
1829,2,2,2,2
3518,3,2,3,5
3701,3,5,4,5
2448,2,2,4,4
578,1,3,3,3
3436,1,2,2,2
989,2,4,3,5
2154,1,3,2,2
3508,3,3,4,5
1493,3,2,3,4
1110,1,5,3,5
2305,1,3,2,2
1302,1,5,2,2
3867,3,2,2,5
3744,3,2,4,5
3774,3,3,3,4
3464,2,3,3,4
138,1,3,2,4
2416,1,4,3,5
3432,1,5,5,5
1224,3,5,2,4
1905,2,2,4,2
1804,1,3,4,2
926,3,3,4,2
2253,2,2,5,4
1613,2,5,3,2
1981,3,5,3,3
3709,1,3,2,2
3235,2,2,2,3
725,2,3,2,3
1812,1,3,4,3
2631,1,5,5,2
946,2,2,2,3
3393,1,3,5,4
826,2,4,2,2
2922,3,5,2,2
2958,1,2,2,2
1395,3,2,5,4
462,1,3,4,3
747,1,4,2,3
3110,1,3,2,5
2180,1,3,3,4
3697,1,2,4,3
2873,1,3,2,2
1431,2,2,2,2
848,2,2,4,2
3890,1,2,2,2
3758,1,4,2,4
2872,3,3,2,5
107,3,3,3,2
2595,1,2,4,2
706,3,2,2,4
1027,3,5,3,3
1006,1,3,3,2
3679,1,4,5,4
6,2,2,5,4
428,3,2,3,4
570,1,3,5,5
2494,2,5,3,2
1733,1,3,3,5
3417,1,4,3,2
2757,3,3,2,3
126,1,2,4,5
1452,3,3,3,2
1731,1,4,3,4
766,2,2,4,3
1933,2,4,2,2
3684,1,4,2,2
2355,1,2,2,2
3254,2,4,2,5
2020,3,2,2,2
441,3,2,5,3
357,2,3,3,5
1414,2,4,2,2
3654,3,2,3,4
2927,3,3,2,2
589,2,2,3,3
2127,1,4,2,3
3962,1,3,3,2
446,3,2,2,5
1662,1,4,5,2
713,1,2,2,2
2984,1,2,2,5
2433,1,3,3,5
3958,3,3,2,2
2393,2,3,2,3
1954,1,5,3,2
3097,3,5,2,5
2142,2,2,3,5
3944,2,5,2,2
2407,2,2,2,3
2869,1,3,2,2
983,3,2,5,5
1634,1,3,2,3
3337,3,4,2,3
3618,1,2,2,2
719,1,2,2,2
1051,2,4,2,2
3152,1,5,5,2
3471,3,3,5,4
2161,1,2,2,2
3652,3,2,3,5
184,1,2,3,3
1870,1,4,3,5
2855,2,4,3,3
2692,1,2,2,2
2870,1,2,2,3
736,3,2,4,4
1677,2,2,3,5
3314,2,2,3,4
551,3,2,5,4
3997,3,4,4,3
401,1,4,3,2
722,3,4,3,2
1115,2,2,2,3
3823,2,4,2,2
2880,2,2,4,2
1317,3,3,3,4
1599,2,3,2,2
3658,3,2,5,3
651,3,3,5,5
3632,1,4,5,5
1702,2,4,2,5
3239,1,3,5,4
2543,1,3,2,2
2457,3,3,2,3
970,2,2,3,3
3764,1,3,4,3
363,1,3,2,3
2806,1,4,3,4
1504,1,5,5,5
920,1,2,2,3
1270,2,4,2,2
3252,2,5,2,2
1237,3,2,2,2
374,2,4,3,2
636,2,2,3,3
1135,1,4,4,2
3308,2,3,5,5
1001,1,5,3,3
638,2,2,4,2
2010,2,3,2,3
1088,3,2,4,5
644,2,2,2,5
1457,1,2,3,2
2315,1,5,3,2
301,1,2,2,3
3815,1,2,3,5
934,3,3,5,3
419,3,2,5,3
2208,1,2,5,5
3785,1,3,3,4
518,2,5,3,4
604,1,3,3,2
588,1,3,4,3
3646,3,3,4,3
1054,3,3,5,3
3777,1,3,2,3
345,3,2,4,4
3486,2,5,4,5
1864,3,4,3,2
1690,1,3,5,3
1786,1,3,2,2
3359,1,3,5,5
3799,3,5,3,4
368,2,2,4,5
1879,1,4,3,2
3595,3,5,3,3
579,2,2,2,5
3940,1,2,3,4
2335,3,3,2,2
2273,1,3,3,4
862,3,2,5,4
2440,1,3,2,4
1953,2,3,2,3
3825,1,3,2,2
3832,3,5,3,4
125,2,5,3,3
1192,2,5,2,3
3892,3,3,3,5
2794,1,2,2,3
3766,3,3,5,2
2960,1,3,3,3
459,2,4,5,3
942,1,2,3,2
1307,1,2,2,3
782,2,3,4,2
173,3,4,2,4
877,1,3,3,2
3831,2,3,2,4
751,3,5,2,3
3802,2,2,2,4
343,2,4,4,4
3598,3,3,4,2
379,3,3,5,4
2932,3,3,3,2
521,1,4,2,2
1506,1,2,2,2
697,1,2,4,5
2308,1,3,5,5
1310,3,2,3,4
3213,1,2,3,5
3454,2,3,2,2
2217,1,5,2,2
3362,3,3,2,4
3302,1,2,2,2
1571,1,5,2,3
2810,3,3,3,2
876,2,2,3,2
95,1,3,2,3
606,2,5,2,2
1873,2,3,3,5
2891,2,3,2,4
2085,2,4,2,3
3311,1,3,3,4
993,2,4,2,4
509,1,3,3,5
2669,1,3,4,3
654,2,3,2,3
3224,1,3,4,3
405,2,2,2,2
645,1,2,3,3
686,2,3,3,4
2551,3,4,2,3
3666,2,4,2,3
298,1,3,2,4
972,1,2,2,3
248,2,4,3,3
1694,1,4,5,3
302,3,3,2,4
2463,3,5,3,3
603,3,3,2,2
3791,2,3,2,2
2998,2,2,2,5
282,1,5,3,3
3959,1,3,4,2
1732,2,4,4,3
1324,1,3,2,2
3724,1,2,2,4
3470,2,3,3,5
353,2,2,4,4
1124,2,3,2,5
519,1,4,3,2
3951,2,3,3,4
2892,1,5,3,2
3451,3,4,2,2
376,1,2,2,2
2427,2,3,2,2
351,3,3,4,4
1696,1,4,3,4
2574,3,4,2,3
1502,3,4,4,3
469,2,3,4,3
309,2,2,2,3
655,2,3,3,5
443,1,2,3,2
900,1,3,2,5
192,1,2,3,2
1970,1,5,4,2
1136,1,2,2,2
447,2,2,5,3
1734,2,2,3,2
2860,2,2,4,2
3916,3,3,2,2
3048,3,2,4,3
3911,3,4,3,2
3553,3,5,3,3
2813,2,3,4,3
1098,2,2,5,5
691,2,2,3,3
2538,1,3,2,5
1823,3,3,5,3
3024,3,4,5,2
1358,3,5,3,5
1687,3,2,2,3
477,1,2,3,2
294,3,2,4,5
2950,3,3,2,4
1600,1,2,2,2
1797,3,3,5,5
1830,2,5,5,2
2009,1,3,3,2
2138,1,4,2,4
2432,3,3,3,5
2479,1,2,3,4
2942,1,3,3,3
2066,2,3,2,3
3971,1,2,5,5
1966,1,3,3,3
2849,3,5,3,2
1872,2,4,4,2
84,3,3,2,2
2536,3,3,5,4
1857,2,4,3,2
437,1,2,2,2
3169,2,4,2,2
1959,1,2,3,2
1926,3,2,2,2
1429,3,2,3,4
3607,3,2,2,5
2392,3,2,2,4
195,2,2,2,5
2931,1,3,2,2
1595,1,2,3,4
2620,2,3,3,4
3288,1,3,4,4
1453,2,2,2,5
475,3,2,4,5
3457,1,2,3,3
336,3,5,4,3
2649,2,5,5,3
2381,2,4,2,5
3176,1,5,3,2
1533,3,3,3,2
409,2,3,2,2
2396,1,4,2,3
3671,3,2,3,2
2547,3,2,3,2
108,3,2,5,3
2099,1,2,3,3
3636,1,5,4,2
3704,3,4,3,3
2274,3,3,4,3
90,1,4,2,4
595,2,5,5,2
2628,3,3,4,3
2199,1,5,3,3
3896,2,2,5,4
3069,1,3,2,2
1403,3,3,5,4
2519,2,2,3,2
3575,1,3,5,3
614,1,2,5,2
2327,3,2,5,2
2118,2,4,5,4
695,2,3,3,5
3879,1,5,3,5
1012,1,4,2,5
315,3,5,4,2
2919,2,2,2,3
2964,3,2,3,3
2296,1,5,4,4
2244,2,3,4,2
1320,1,2,4,4
3352,2,5,3,3
833,2,4,2,4
1717,1,3,5,2
393,3,5,4,2
2573,3,3,5,5
214,2,5,3,3
2101,1,2,4,5
1878,3,5,5,3
3327,1,2,3,4
3059,1,2,4,3
684,2,2,3,4
2175,3,4,3,2
3664,2,4,2,2
2178,3,4,2,5
2639,2,3,3,5
3356,2,4,2,3
3350,1,2,2,4
3649,3,2,3,2
1916,1,2,2,3
2818,3,4,4,3
525,1,3,3,4
3509,2,2,2,2
207,1,3,5,2
1216,2,2,4,5
61,1,2,2,2
2041,3,2,3,5
1756,1,3,2,3
1331,3,4,5,3
23,1,4,2,4
1836,2,2,4,4
466,3,2,4,3
390,3,4,5,2
663,2,3,5,4
2498,2,3,3,2
2275,1,3,3,3
1947,3,5,3,3
1125,1,3,3,3
2814,2,4,5,4
1580,1,2,4,5
3037,2,3,3,3
3488,3,4,5,2
3133,1,5,2,3
41,3,3,2,4
2108,2,4,2,3
2946,1,4,2,2
979,3,2,2,5
2441,1,5,3,2
2422,1,2,3,3
840,1,2,3,4
2643,1,3,2,2
3659,2,3,2,3
1470,2,3,5,5
1653,1,4,2,2
62,2,3,2,3
2924,1,3,3,2
3851,1,4,2,3
868,1,2,2,2
265,1,4,3,3
1333,2,2,5,3
285,3,4,2,2
2163,1,2,4,2
1774,1,5,2,3
668,3,2,3,2
2234,2,2,4,4
3227,1,2,4,4
3026,2,3,3,2
3148,1,2,2,3
3187,2,2,2,2
2961,1,5,2,2
1671,1,2,2,3
2167,1,4,2,5
786,1,2,5,5
264,2,2,5,2
3406,1,4,2,5
2331,2,2,2,5
3168,1,2,3,2
2679,2,2,5,3
3438,2,3,3,2
2888,3,2,2,2
774,1,3,2,2
2272,1,4,2,4
3529,3,3,4,3
947,1,3,4,4
3163,1,5,4,2
3960,1,4,3,2
3014,1,2,3,2
2862,3,3,2,2
555,2,5,2,2
1806,1,2,3,3
3192,2,4,2,3
3038,2,5,3,2
1204,2,3,5,4
2560,1,3,2,2
2227,1,3,2,2
2069,3,3,2,2
1738,1,4,2,3
2675,1,3,2,3
2002,3,5,4,5
1092,1,2,2,2
472,2,3,5,3
2816,2,2,5,2
246,1,2,3,2
2210,3,5,3,2
2291,3,5,5,4
1862,1,5,2,2
1287,1,3,3,4
2566,1,4,3,2
2763,1,3,3,2
1708,1,3,2,3
3361,1,4,2,4
1590,3,4,4,3
548,1,3,2,2
2174,3,2,2,5
1594,1,4,2,5
3053,1,5,3,2
468,1,3,4,4
2190,2,2,3,2
281,3,3,2,4
3386,1,2,3,3
3094,2,2,3,3
1486,1,3,2,3
3779,2,3,4,5
3708,3,2,4,4
1491,2,3,5,2
1380,1,3,3,2
2579,2,3,2,4
3608,2,3,3,2
2948,2,4,5,5
2766,1,2,2,3
627,3,3,4,3
3363,1,2,3,3
2672,1,2,2,2
1784,1,3,3,5
3481,3,3,2,4
1464,2,2,2,5
2812,3,2,4,5
3179,2,2,2,2
2731,3,5,2,2
3599,3,2,2,3
2807,2,3,2,5
3348,1,4,3,3
253,1,4,5,3
929,2,2,2,4
1032,2,2,2,3
805,1,2,4,2
656,1,3,2,2
2771,1,2,2,2
1455,2,5,2,5
3162,2,2,2,2
210,1,2,3,2
1463,3,5,3,2
1909,1,5,3,2
3769,1,2,5,3
961,1,4,3,3
361,2,4,4,3
3342,3,3,2,5
1405,1,3,3,2
1969,3,5,2,2
239,1,3,3,2
3837,1,3,3,5
2213,2,2,5,2
2699,2,5,2,3
2277,2,2,2,2
3829,2,2,3,4
3500,2,3,3,5
2109,2,3,4,5
1376,3,2,4,4
3257,3,5,3,5
1709,1,2,3,4
2122,1,2,3,3
1047,2,3,2,3
1856,2,2,2,2
3113,1,2,2,4
2162,2,5,2,3
2548,3,4,4,2
3539,3,5,2,3
2132,2,2,4,3
3033,2,5,2,2
2287,2,2,2,4
1399,2,3,3,2
2322,2,3,5,2
1273,2,3,4,4
382,2,2,5,4
3339,1,3,2,5
1810,2,5,2,4
80,1,2,2,4
1515,2,3,3,3
2594,1,2,2,3
1743,1,3,3,3
1977,1,2,5,5
3558,2,4,3,2
680,1,2,4,4
2104,2,2,2,2
433,3,3,3,4
1439,1,2,2,3
1921,3,5,5,2
3820,2,3,4,5
2237,1,5,3,3
3119,3,3,3,2
1742,2,2,2,3
3691,1,2,3,5
3383,1,2,3,3
128,1,3,3,2
2306,2,4,3,4
2417,1,3,3,3
1795,1,3,2,2
837,3,4,3,4
2313,1,3,5,3
969,2,3,2,3
457,3,2,5,2
284,3,3,2,2
1899,3,5,5,3
3852,3,5,4,2
429,2,2,3,5
869,1,5,2,2
2719,1,3,3,4
146,3,2,5,2
1967,3,4,4,3
3745,2,2,2,4
815,2,2,2,2
3614,3,5,2,3
907,3,2,2,5
2123,1,4,3,3
34,2,4,2,4
3105,2,4,3,2
2795,3,3,5,3
3857,2,2,4,4
1100,1,3,2,3
2834,3,4,4,3
2770,1,3,3,3
2941,2,3,3,3
40,2,2,2,3
568,2,2,3,3
1131,3,2,3,5
377,3,2,3,2
1374,3,3,5,3
2347,1,2,3,3
2229,2,2,4,4
2722,2,3,4,2
811,3,5,3,2
806,2,2,2,3
1002,1,3,4,4
1724,1,2,3,3
1200,3,3,2,5
2039,3,3,3,3
1659,2,4,2,4
407,1,2,4,2
3313,2,3,2,4
1851,1,3,2,2
1265,3,3,5,4
406,1,3,5,5
2601,1,3,3,3
2534,3,2,5,2
2146,2,2,3,2
580,1,2,3,4
1187,1,2,5,2
3501,3,5,3,3
1144,1,3,2,2
3375,3,2,3,3
2350,3,4,5,4
2394,2,3,4,2
71,3,4,5,5
2449,1,2,2,4
1290,3,3,2,3
3434,1,3,2,4
103,1,2,4,3
899,3,4,2,4
1674,1,4,5,2
1826,3,3,2,2
2606,2,2,2,4
3345,1,2,4,3
728,3,2,4,4
3269,3,3,5,5
1454,1,3,2,3
3895,1,5,4,3
893,2,2,3,3
962,2,2,4,2
2490,3,3,2,3
3186,1,2,4,3
3463,1,2,2,3
3976,1,3,2,4
0,3,5,3,2
220,1,2,5,3
3321,1,3,4,5
1757,1,4,3,5
1443,3,5,5,2
175,1,4,3,4
3808,2,4,2,4
571,1,5,3,2
880,3,4,2,5
853,3,3,2,2
639,1,2,2,5
1902,3,3,2,2
145,2,2,5,5
2224,1,2,3,2
2231,1,4,5,4
3992,3,2,3,2
387,1,3,3,3
3526,2,2,2,3
711,3,2,2,4
2571,1,5,3,2
772,2,2,3,4
1368,2,5,2,4
478,1,3,3,2
3503,1,3,2,2
293,1,3,2,4
3208,1,4,5,3
1165,1,3,3,4
2092,3,5,3,5
3293,1,2,3,3
2711,3,5,2,2
3238,2,3,3,5
3330,2,5,2,2
1207,2,2,3,3
3203,2,2,4,3
3202,3,5,2,4
3346,1,2,3,3
1209,2,2,4,2
3935,1,2,5,2
1319,2,5,2,3
2397,3,3,2,3
1217,1,3,3,4
3085,2,2,4,5
1160,1,2,2,3
2157,2,2,3,3
1736,3,3,2,4
2702,1,2,4,3
1428,1,3,2,3
689,1,2,4,2
1658,2,2,3,2
2501,1,3,4,5
1129,1,3,2,4
1860,1,4,3,3
3206,3,4,2,2
1576,2,2,3,4
1989,3,2,2,2
2475,2,2,3,4
3075,3,2,4,5
801,3,5,5,2
1020,2,3,2,4
643,1,3,5,4
2120,3,3,5,4
2741,3,2,2,4
832,1,4,3,3
2367,3,4,2,2
2318,1,4,3,3
2149,1,3,2,4
2625,2,4,2,2
2064,3,5,3,2
204,1,3,3,3
959,3,3,2,3
3778,3,2,2,5
2205,2,2,2,2
2747,1,3,3,2
38,3,5,3,4
1651,1,2,2,3
2596,3,3,3,5
2788,2,3,2,3
1789,1,2,4,2
238,1,3,3,3
49,3,4,2,4
3490,2,3,3,2
1750,1,2,2,2
3396,1,4,4,2
1161,1,2,3,4
399,3,4,2,5
12,2,3,5,4
939,1,4,2,3
2421,3,4,2,2
1468,3,3,3,4
3516,1,2,2,3
1807,2,4,3,2
1276,1,2,4,4
2223,1,2,4,3
3588,1,2,2,2
2562,2,3,4,2
1176,1,3,2,3
318,3,2,4,4
1759,1,2,5,2
3798,2,3,3,2
1778,3,2,2,4
3178,2,2,2,3
2408,2,3,3,5
784,1,3,4,2
1891,1,4,3,2
3551,1,2,2,5
2159,2,2,3,2
2061,2,4,3,5
1728,2,3,2,4
3364,2,3,3,3
1140,2,2,4,2
776,2,3,3,3
1835,1,2,5,3
637,1,5,4,2
2597,1,3,3,2
2696,3,2,5,3
3151,1,2,2,2
1661,3,2,3,4
3836,2,3,3,2
1636,1,2,4,5
39,3,2,5,4
418,2,2,4,3
2756,1,4,5,2
2128,1,5,2,2
2404,2,3,2,3
3844,1,2,3,5
2112,1,2,2,2
2751,2,4,3,3
831,2,3,4,4
1215,2,4,2,2
439,1,4,5,2
2798,3,3,3,2
3198,2,4,4,2
2453,2,2,2,3
2703,3,5,2,3
3058,1,2,4,3
517,1,3,3,2
2744,2,2,3,3
2664,1,2,4,5
3970,2,4,2,2
3485,3,4,2,2
2462,1,4,5,4
3496,2,2,3,2
1181,3,2,3,3
47,3,4,3,5
3692,1,3,2,3
89,1,4,2,2
2995,3,4,5,3
2170,2,3,2,2
1301,2,2,5,2
2993,2,5,3,2
140,3,5,3,2
2842,3,2,3,3
593,2,2,3,4
666,3,4,3,2
2687,3,3,2,4
3318,1,3,2,5
2311,2,5,3,2
1322,1,2,3,2
1992,1,2,2,3
185,2,5,5,4
3258,3,2,3,3
120,1,3,2,3
2996,1,2,3,3
741,1,3,3,2
160,1,5,5,2
299,1,3,3,2
2953,1,4,2,2
938,1,3,3,2
14,1,3,3,3
3403,1,3,4,4
799,3,3,2,5
2632,3,3,5,5
78,1,4,3,3
2080,1,4,2,2
3175,2,4,3,2
1375,1,3,3,2
1030,1,2,2,2
3100,3,3,3,2
2252,3,2,5,2
167,1,2,2,4
3201,1,2,2,4
3395,1,2,2,3
1816,2,2,3,2
232,1,2,4,3
1943,1,2,3,4
2481,3,5,3,4
1721,3,3,4,3
1678,1,3,2,2
289,1,4,2,2
3249,3,5,2,4
461,2,2,4,3
1828,1,2,3,5
2831,3,3,2,3
3120,3,3,3,2
2729,1,3,3,2
1421,2,5,4,5
1074,1,2,3,2
2151,3,3,3,2
1729,1,3,3,2
77,1,2,2,2
2693,1,2,4,4
1963,1,4,2,2
3974,1,2,3,2
1014,1,3,2,2
2065,3,5,4,4
3029,1,4,5,4
111,1,2,3,2
415,1,2,2,3
366,1,5,2,2
1887,2,2,4,3
953,3,4,3,2
2681,3,4,2,2
2546,3,5,3,5
1055,2,3,3,2
2026,3,2,4,3
957,3,4,3,3
2304,3,4,3,2
2025,1,2,5,3
2057,2,2,4,4
2312,1,3,5,5
1214,2,2,5,5
3400,3,4,4,2
1305,1,5,3,4
18,2,4,2,4
1244,3,5,3,2
562,1,2,2,2
1881,2,2,2,3
427,2,2,3,2
1303,2,4,3,2
2073,2,3,2,2
2344,3,5,2,2
2083,1,4,2,2
3542,2,2,2,2
3324,1,3,4,3
3953,3,2,5,5
222,1,3,2,3
1300,2,4,2,4
1433,3,2,2,5
3734,3,2,2,2
1561,3,4,3,2
3868,2,2,4,2
2921,3,2,2,5
2319,3,4,3,3
2079,3,2,5,3
3310,1,4,4,3
1077,3,3,5,5
3653,2,3,3,3
2861,3,3,2,3
3925,2,4,3,2
2035,1,2,5,3
3719,3,5,3,2
1913,1,2,5,2
2981,2,2,3,2
3446,1,3,2,2
1388,2,2,2,4
1581,1,5,2,3
3007,1,4,3,5
1041,3,5,4,2
1973,1,5,3,5
1716,3,4,3,5
2866,1,3,2,3
3543,2,4,4,3
3231,1,2,3,3
3494,2,5,5,2
653,3,5,3,2
1834,1,3,3,3
878,1,4,3,3
3264,3,2,4,2
2340,2,3,2,2
1711,2,5,2,4
60,2,2,5,4
110,2,2,3,3
2242,1,2,2,2
1707,1,5,3,3
3196,2,2,2,3
1745,1,2,2,3
1539,1,3,2,2
861,1,4,2,2
498,2,2,2,3
3191,2,3,2,3
2725,2,3,2,3
1616,1,2,3,3
1471,1,2,5,3
1925,1,2,3,2
1914,3,3,5,3
3284,2,3,2,4
1726,3,3,4,4
3722,3,5,5,4
2124,1,3,2,3
2854,3,4,3,2
2164,1,3,2,2
3601,1,5,2,2
2384,1,3,4,3
327,2,3,3,4
141,3,3,4,5
311,1,3,4,3
1021,3,2,2,5
528,1,2,2,2
1592,2,2,2,3
1195,1,5,3,5
2627,2,2,3,2
3435,3,3,3,2
1578,3,3,3,2
1614,2,2,5,5
956,1,2,2,4
388,1,4,3,2
582,1,4,4,2
3274,1,2,2,4
1802,3,3,4,5
1106,3,2,2,3
3714,2,3,3,5
1518,1,3,5,4
1568,1,3,2,2
616,1,3,3,3
1075,3,3,2,2
57,2,3,3,4
1701,2,2,3,2
121,1,3,2,2
234,1,3,3,2
471,1,4,4,2
1029,3,4,2,2
3469,3,4,5,4
3987,2,3,3,3
3479,1,2,3,4
2549,3,4,3,2
2326,2,3,2,3
3956,3,3,3,3
3290,1,5,4,3
193,1,2,3,2
2278,3,2,2,5
2804,1,3,3,4
2545,1,2,4,5
819,3,2,2,3
26,1,2,4,4
119,3,3,4,3
2038,2,5,5,3
1086,1,2,2,5
412,3,5,3,5
106,2,3,4,5
3462,2,5,4,5
476,2,3,2,3
1093,3,2,5,5
3536,3,4,4,3
3076,1,4,3,3
2589,1,5,2,4
3080,3,3,3,4
1585,1,2,4,2
1028,2,3,2,3
3027,1,4,3,4
122,1,3,2,3
1046,2,2,4,5
3669,2,2,3,4
36,1,3,3,3
1897,1,5,5,4
794,1,2,2,3
2247,1,2,5,4
2194,1,2,2,2
2477,2,2,2,2
3910,1,3,3,5
2051,3,2,2,5
3167,2,3,2,3
1079,3,2,3,4
2113,2,3,3,2
621,3,3,3,5
3125,2,3,2,2
958,2,3,3,5
1884,2,3,2,2
3104,2,2,2,2
2839,1,2,2,3
2401,2,2,2,2
502,1,5,4,5
2359,3,5,4,2
1593,1,3,3,4
2904,3,4,2,5
1227,1,2,5,3
3171,3,4,2,3
1626,1,2,2,3
657,1,4,4,2
3903,2,3,4,5
129,2,2,2,5
646,1,2,2,2
2187,2,2,2,5
3574,1,4,3,4
2785,3,5,2,5
1755,2,4,4,3
33,2,4,5,5
3242,3,2,4,5
1127,3,4,3,4
3533,1,4,3,3
2207,1,3,2,2
1579,2,2,3,2
131,2,3,4,4
2493,2,2,2,4
550,3,5,4,2
855,3,3,5,3
2728,2,4,2,3
1667,2,2,3,3
1656,2,2,4,2
1105,1,2,2,4
985,3,2,3,3
2830,1,2,4,5
3964,2,5,3,2
808,2,3,3,2
1964,2,2,2,2
43,1,2,3,2
1321,3,2,3,3
3796,1,2,2,2
2469,1,4,4,4
2604,3,5,4,2
1328,1,5,2,2
3763,1,5,3,2
2937,2,5,3,4
3843,3,4,2,2
3521,1,3,4,2
391,1,4,3,4
2284,1,4,2,4
1183,3,3,2,2
1647,1,2,3,2
8,3,2,4,5
3596,1,4,4,4
3207,1,4,2,2
567,2,3,3,3
617,1,2,2,2
2734,1,3,2,2
3172,2,2,4,2
883,2,4,4,3
3402,3,4,5,5
483,3,3,2,2
1885,1,2,3,4
1061,2,2,2,3
221,2,3,2,2
3183,1,2,2,2
3789,3,5,2,2
2310,2,2,2,2
1111,1,2,2,2
2075,3,3,3,5
3988,2,4,2,2
660,2,3,2,2
2624,3,2,2,5
3040,3,2,5,3
3795,1,4,2,2
865,3,2,4,3
2437,3,3,4,4
1130,2,4,5,4
1232,2,2,4,5
3305,3,2,2,3
1359,1,2,2,3
641,2,4,2,2
3578,1,2,3,2
3871,1,2,5,3
116,3,4,5,2
573,3,3,3,4
3367,1,2,3,4
1479,1,2,3,2
455,3,5,3,3
396,2,3,2,3
559,1,2,3,3
397,1,4,5,2
93,3,5,2,3
3809,3,5,2,2
1343,1,2,2,4
955,1,4,2,2
1521,3,2,4,5
2211,3,3,3,3
2172,2,2,5,5
1058,2,2,5,5
1252,2,2,3,3
320,3,2,4,2
2541,1,4,2,2
1080,3,3,3,2
1297,3,4,2,3
1175,1,4,5,5
479,2,2,2,2
2837,3,3,2,5
997,1,5,4,3
1624,2,2,4,3
1335,3,4,2,2
413,2,3,3,5
2994,1,2,4,3
3557,2,5,3,5
3050,2,3,2,2
894,2,2,3,3
2943,1,3,5,3
3804,3,2,3,4
1104,1,2,3,3
3898,2,2,4,5
2436,2,3,3,3
1114,2,2,2,4
3801,1,2,2,4
2489,3,2,3,3
3660,1,4,4,4
16,2,4,4,2
2894,1,2,5,3
3884,3,2,2,2
3581,1,2,4,4
2781,3,4,3,5
2428,3,2,5,4
1761,3,3,2,5
2611,1,4,2,2
545,1,3,3,2
1196,2,2,2,2
3297,1,2,3,3
1242,3,3,3,4
2712,1,3,4,2
2048,3,5,4,2
3129,1,2,3,3
2334,1,4,3,2
3374,2,2,2,5
1603,2,3,3,3
1089,2,4,3,5
3001,3,3,5,4
802,1,5,5,3
3788,2,4,2,3
872,2,2,2,3
3507,2,3,2,2
2395,1,2,3,2
2511,2,3,3,2
375,2,2,4,5
3936,3,2,2,4
1564,1,3,4,5
1059,3,3,2,4
1861,1,3,5,2
2623,1,2,2,4
3074,1,3,4,2
283,3,4,2,2
630,2,3,4,4
3716,1,2,2,3
3216,1,4,4,5
3812,1,2,5,3
3268,2,3,2,4
1764,2,3,4,3
1928,3,3,3,4
1096,2,3,3,3
1691,1,5,4,3
2772,2,4,2,4
2195,2,2,2,5
1461,3,3,2,5
3493,3,5,2,3
1994,2,2,5,4
350,2,4,4,3
2145,3,2,3,5
3291,2,4,3,4
565,2,3,2,2
482,2,4,2,3
3619,3,3,3,5
2314,3,5,3,3
127,1,3,5,5
2859,3,4,4,5
355,1,4,3,3
2736,1,2,3,2
3725,3,5,5,2
2411,1,5,3,5
2838,2,5,3,2
3489,1,2,3,5
1519,2,3,2,2
1034,1,4,2,3
53,2,2,3,3
3416,3,3,2,3
745,1,2,3,4
2801,2,3,2,3
1240,2,2,4,2
3146,1,2,2,2
1189,3,3,5,3
456,3,4,3,3
3648,1,2,2,4
3817,2,4,5,2
3211,2,3,5,2
1281,3,4,3,5
633,1,2,3,4
2968,3,5,4,3
3609,2,5,4,3
3585,2,3,3,2
1775,2,2,2,2
3445,2,5,2,3
694,2,4,2,3
612,3,2,5,5
2559,3,3,3,5
3846,3,4,5,5
464,1,2,2,3
3693,2,3,4,2
3295,2,2,2,2
3492,3,5,4,3
1465,3,3,3,5
1476,1,5,4,4
1503,3,2,4,2
1799,3,2,3,4
3715,2,2,2,5
1630,1,3,2,3
404,1,2,4,2
3181,1,3,2,3
1123,1,4,3,3
3034,1,2,2,2
3537,2,4,3,2
2368,3,2,4,3
1271,1,2,2,3
196,1,2,3,2
2265,2,2,5,5
3353,2,4,2,4
1268,2,2,4,2
2567,3,4,2,2
1883,3,2,3,2
881,3,2,3,2
1352,2,3,4,3
3218,3,3,2,5
1714,1,5,3,4
3189,2,3,4,3
1415,1,3,3,5
2599,2,3,2,3
3631,2,3,3,3
2301,3,5,2,4
